BTC | Bitcoin                                : $53,693.00         | в рублях: null
RDNT | Radiant Capital                       : $0.0799            | в рублях: null
PYR | Vulcan Forged PYR                      : $2.35              | в рублях: null
PROM | Prometeus                             : $4.92              | в рублях: null
CVC | Civic                                  : $0.0879            | в рублях: null
USTC | TerraClassicUSD                       : $0.01501           | в рублях: null
C98 | Coin98                                 : $0.1055            | в рублях: null
SNT | Status                                 : $0.02225           | в рублях: null
IQ | IQ                                      : $0.004416          | в рублях: null
WIN | WINkLink                               : $0.000084          | в рублях: null
STRAX | Stratis                              : $0.0424            | в рублях: null
MAGIC | Magic                                : $0.3107            | в рублях: null
AUCTION | Auction                            : $12.66             | в рублях: null
HIVE | Hive                                  : $0.1627            | в рублях: null
HIGH | Highstreet                            : $1.20              | в рублях: null
CELR | Celer Network                         : $0.01027           | в рублях: null
DAR | Mines of Dalarnia                      : $0.12857           | в рублях: null
CYBER | Cyber                                : $3.02              | в рублях: null
PHA | Phala.Network                          : $0.1047            | в рублях: null
SYS | Syscoin                                : $0.0987            | в рублях: null
MOVR | Moonriver                             : $8.57              | в рублях: null
KNC | KyberNetwork                           : $0.4155            | в рублях: null
AI | Sleepless AI                            : $0.354             | в рублях: null
DODO | DODO                                  : $0.1026            | в рублях: null
SPELL | Spell Token                          : $0.0004984         | в рублях: null
STMX | StormX                                : $0.006123          | в рублях: null
STPT | Standard Tokenization Protocol        : $0.03793           | в рублях: null
REQ | Request Network                        : $0.0948            | в рублях: null
STEEM | Steem                                : $0.1531            | в рублях: null
SYN | Synapse                                : $0.3854            | в рублях: null
RIF | Rootstock Infrastructure Framework     : $0.0714            | в рублях: null
GNS | Gains Network                          : $2.13              | в рублях: null
DENT | DENT                                  : $0.0007            | в рублях: null
ACE | Fusionist                              : $1.95              | в рублях: null
HOOK | Hooked Protocol                       : $0.3762            | в рублях: null
MAV | Maverick Protocol                      : $0.1805            | в рублях: null
CTK | Shentu                                 : $0.4915            | в рублях: null
BAKE | BakeryToken                           : $0.2274            | в рублях: null
PORTAL | Portal                              : $0.2362            | в рублях: null
LEVER | LeverFi                              : $0.001933          | в рублях: null
LQTY | Liquity                               : $0.686             | в рублях: null
OXT | Orchid                                 : $0.0648            | в рублях: null
AEUR | Anchored EUR                          : $1.11              | в рублях: null
QI | BENQI                                   : $0.01272           | в рублях: null
OMNI | Omni Network                          : $6.63              | в рублях: null
ALICE | My Neighbor Alice                    : $0.884             | в рублях: null
ARDR | Ardor                                 : $0.05985           | в рублях: null
ACA | Acala Token                            : $0.0552            | в рублях: null
HFT | Hashflow                               : $0.131             | в рублях: null
LISTA | Lista                                : $0.3117            | в рублях: null
QKC | QuarkChain                             : $0.008042          | в рублях: null
PHB | Phoenix                                : $1.09              | в рублях: null
SCRT | Secret                                : $0.1935            | в рублях: null
XVG | Verge                                  : $0.003307          | в рублях: null
REZ | Renzo                                  : $0.0332            | в рублях: null
MTL | Metal DAO                              : $0.814             | в рублях: null
BNT | Bancor                                 : $0.4314            | в рублях: null
HIFI | Hifi Finance                          : $0.3955            | в рублях: null
STG | Stargate Finance                       : $0.2634            | в рублях: null
NFP | NFPrompt Token                         : $0.1793            | в рублях: null
AGLD | Adventure Gold                        : $0.678             | в рублях: null
MBOX | MOBOX                                 : $0.1334            | в рублях: null
RAD | Radworks                               : $0.995             | в рублях: null
ARK | Ark                                    : $0.2783            | в рублях: null
BADGER | Badger DAO                          : $2.46              | в рублях: null
ARPA | ARPA Network                          : $0.03367           | в рублях: null
TKO | Tokocrypto                             : $0.2872            | в рублях: null
OGN | OriginToken                            : $0.0793            | в рублях: null
BLZ | Bluzelle                               : $0.1111            | в рублях: null
NKN | NKN                                    : $0.062             | в рублях: null
REI | REI Network                            : $0.04979           | в рублях: null
GTC | Gitcoin                                : $0.561             | в рублях: null
ALPHA | Stella                               : $0.0508            | в рублях: null
WRX | WazirX                                 : $0.1189            | в рублях: null
TLM | Alien Worlds                           : $0.00978           | в рублях: null
SLF | SLF                                    : $0.4623            | в рублях: null
GHST | Aavegotchi                            : $0.82              | в рублях: null
LTO | LTO Network                            : $0.0993            | в рублях: null
MBL | MovieBloc                              : $0.002388          | в рублях: null
ERN | Ethernity Chain                        : $1.92              | в рублях: null
DATA | Streamr                               : $0.0376            | в рублях: null
VIC | Viction                                : $0.4027            | в рублях: null
ATA | Automata                               : $0.0723            | в рублях: null
MLN | Enzyme                                 : $14.51             | в рублях: null
NULS | Nuls                                  : $0.3499            | в рублях: null
TNSR | Tensor                                : $0.3062            | в рублях: null
CLV | Clover Finance                         : $0.03808           | в рублях: null
BSW | Biswap                                 : $0.0755            | в рублях: null
FORTH | Ampleforth Governance Token          : $2.64              | в рублях: null
VIDT | VIDT DAO                              : $0.0441            | в рублях: null
AERGO | Aergo                                : $0.0827            | в рублях: null
IDEX | IDEX                                  : $0.0452            | в рублях: null
ORN | Orion Protocol                         : $1.06              | в рублях: null
DIA | DIA                                    : $0.3232            | в рублях: null
COS | Contentos                              : $0.006903          | в рублях: null
BETA | Beta Finance                          : $0.04252           | в рублях: null
PERP | Perpetual Protocol                    : $0.5325            | в рублях: null
CTXC | Cortex                                : $0.1539            | в рублях: null
REN | Ren                                    : $0.03403           | в рублях: null
FUN | FunToken                               : $0.003109          | в рублях: null
LOKA | League of Kingdoms                    : $0.1903            | в рублях: null
QUICK | QuickSwap                            : $0.04598           | в рублях: null
CREAM | Cream Finance                        : $17.63             | в рублях: null
LIT | Litentry                               : $0.576             | в рублях: null
FLM | Flamingo                               : $0.0515            | в рублях: null
BEL | Bella Protocol                         : $0.4726            | в рублях: null
FIS | Stafi                                  : $0.2972            | в рублях: null
KMD | Komodo                                 : $0.2242            | в рублях: null
WAN | Wanchain                               : $0.1522            | в рублях: null
ALCX | Alchemix                              : $12.56             | в рублях: null
FIDA | Solana Name Service                   : $0.2091            | в рублях: null
KEY | Selfkey                                : $0.004756          | в рублях: null
EURI | Eurite                                : $1.11              | в рублях: null
DEGO | Dego Finance                          : $1.33              | в рублях: null
FARM | Harvest Finance                       : $39.67             | в рублях: null
PDA | PlayDapp                               : $0.0453            | в рублях: null
PSG | Paris Saint-Germain Fan Token          : $2.21              | в рублях: null
VOXEL | Voxies                               : $0.1386            | в рублях: null
COMBO | COMBO                                : $0.3617            | в рублях: null
AVA | AVA                                    : $0.4726            | в рублях: null
ALPACA | Alpaca Finance                      : $0.1669            | в рублях: null
CHESS | Tranchess                            : $0.1424            | в рублях: null
MDT | Measurable Data Token                  : $0.03622           | в рублях: null
LINA | Linear                                : $0.003517          | в рублях: null
IRIS | IRISnet                               : $0.01388           | в рублях: null
BIFI | Beefy.Finance                         : $276.00            | в рублях: null
BURGER | BurgerCities                        : $0.3752            | в рублях: null
VITE | VITE                                  : $0.0187            | в рублях: null
HARD | Kava Lend                             : $0.1521            | в рублях: null
AMB | AirDAO                                 : $0.00659           | в рублях: null
UTK | xMoney                                 : $0.04073           | в рублях: null
UNFI | Unifi Protocol DAO                    : $2.33              | в рублях: null
DF | dForce                                  : $0.0287            | в рублях: null
ADX | AdEx                                   : $0.1382            | в рублях: null
UFT | UniLend                                : $0.2514            | в рублях: null
FIO | FIO Protocol                           : $0.02426           | в рублях: null
IDRT | Rupiah Token                          : $0.00006464        | в рублях: null
WING | Wing Token                            : $4.09              | в рублях: null
AKRO | Akropolis                             : $0.0041            | в рублях: null
GFT | Gifto                                  : $0.01757           | в рублях: null
BAR | FC Barcelona Fan Token BAR             : $1.63              | в рублях: null
KP3R | Keep3rV1                              : $41.12             | в рублях: null
